year,state,category,jurisdiction,budget_usd,pct_change_yoy,lag_1,rolling_3yr,budget_log
2015,AK,education,state,2703274000,-3.02,-3.02,-3.02,9.4319
2016,AK,education,state,2787912000,3.13,-3.02,0.055,9.4453
2017,AK,education,state,2524056000,-9.46,3.13,-3.117,9.4021
2018,AK,education,state,2575850000,2.05,-9.46,-1.427,9.4109
2019,AK,education,state,1315517000,-20.0,2.05,-9.137,9.1191
2020,AK,education,state,2403499000,30.0,-20.0,4.017,9.3808
2021,AK,education,state,2299005000,-4.35,30.0,1.883,9.3615
2022,AK,education,state,2828531000,23.03,-4.35,16.227,9.4516
2023,AK,education,state,2728050000,-3.55,23.03,5.043,9.4359
2015,AK,environment,state,399259000,4.21,4.21,4.21,8.6013
2016,AK,environment,state,494750000,23.92,4.21,14.065,8.6944
2017,AK,environment,state,420478000,-15.01,23.92,4.373,8.6237
2018,AK,environment,state,587816000,30.0,-15.01,12.97,8.7692
2019,AK,environment,state,448468000,-20.0,30.0,-1.67,8.6517
2020,AK,environment,state,521021000,16.18,-20.0,8.727,8.7169
2021,AK,environment,state,424214000,-18.58,16.18,-7.467,8.6276
2022,AK,environment,state,487691000,14.96,-18.58,4.187,8.6881
2023,AK,environment,state,503926000,3.33,14.96,-0.097,8.7024
2015,AK,housing,state,2113211000,0.34,0.34,0.34,9.3249
2016,AK,housing,state,2372655000,12.28,0.34,6.31,9.3752
2017,AK,housing,state,2724651000,14.84,12.28,9.153,9.4353
2018,AK,housing,state,2829643000,3.85,14.84,10.323,9.4517
2019,AK,housing,state,2896373000,2.36,3.85,7.017,9.4619
2020,AK,housing,state,2907887000,0.4,2.36,2.203,9.4636
2021,AK,housing,state,2849705000,-2.0,0.4,0.253,9.4548
2022,AK,housing,state,3332060000,16.93,-2.0,5.11,9.5227
2023,AK,housing,state,3417971000,2.58,16.93,5.837,9.5338
2015,AK,public_safety,state,502691000,0.4,0.4,0.4,8.7013
2016,AK,public_safety,state,472597000,-5.99,0.4,-2.795,8.6745
2017,AK,public_safety,state,458713000,-2.94,-5.99,-2.843,8.6615
2018,AK,public_safety,state,621759000,30.0,-2.94,7.023,8.7936
2019,AK,public_safety,state,488735000,-20.0,30.0,2.353,8.6891
2020,AK,public_safety,state,559215000,14.42,-20.0,8.14,8.7476
2021,AK,public_safety,state,598849000,7.09,14.42,0.503,8.7773
2022,AK,public_safety,state,663803000,10.85,7.09,10.787,8.822
2023,AK,public_safety,state,711752000,7.22,10.85,8.387,8.8523
2015,AK,transportation,state,1271514000,-0.69,-0.69,-0.69,9.1043
2016,AK,transportation,state,1290503000,1.49,-0.69,0.4,9.1108
2017,AK,transportation,state,1143967000,-11.35,1.49,-3.517,9.0584
2018,AK,transportation,state,1325991000,15.91,-11.35,2.017,9.1225
2019,AK,transportation,state,1068879000,-19.39,15.91,-4.943,9.0289
2020,AK,transportation,state,1116296000,4.44,-19.39,0.32,9.0478
2021,AK,transportation,state,1106152000,-0.91,4.44,-5.287,9.0438
2022,AK,transportation,state,1282596000,15.95,-0.91,6.493,9.1081
2023,AK,transportation,state,1472639000,14.82,15.95,9.953,9.1681
2015,AL,education,state,12235527000,4.03,4.03,4.03,10.0876
2016,AL,education,state,10929674000,-10.67,4.03,-3.32,10.0386
2017,AL,education,state,11406178000,4.36,-10.67,-0.76,10.0571
2018,AL,education,state,11963776000,4.89,4.36,-0.473,10.0779
2019,AL,education,state,12520043000,4.65,4.89,4.633,10.0976
2020,AL,education,state,12883175000,2.9,4.65,4.147,10.11
2021,AL,education,state,14253969000,10.64,2.9,6.063,10.1539
2022,AL,education,state,15658141000,9.85,10.64,7.797,10.1947
2023,AL,education,state,17512446000,11.84,9.85,10.777,10.2433
2015,AL,environment,state,289013000,4.44,4.44,4.44,8.4609
2016,AL,environment,state,269172000,-6.87,4.44,-1.215,8.43
2017,AL,environment,state,289411000,7.52,-6.87,1.697,8.4615
2018,AL,environment,state,276773000,-4.37,7.52,-1.24,8.4421
2019,AL,environment,state,281745000,1.8,-4.37,1.65,8.4499
2020,AL,environment,state,295431000,4.86,1.8,0.763,8.4705
2021,AL,environment,state,331821000,12.32,4.86,6.327,8.5209
2022,AL,environment,state,330235000,-0.48,12.32,5.567,8.5188
2023,AL,environment,state,390965000,18.39,-0.48,10.077,8.5921
2015,AL,housing,state,8204660000,3.54,3.54,3.54,9.9141
2016,AL,housing,state,8448333000,2.97,3.54,3.255,9.9268
2017,AL,housing,state,7063127000,-16.4,2.97,-3.297,9.849
2018,AL,housing,state,6808656000,-3.6,-16.4,-5.677,9.8331
2019,AL,housing,state,7245337000,6.41,-3.6,-4.53,9.8601
2020,AL,housing,state,7941439000,9.61,6.41,4.14,9.8999
2021,AL,housing,state,8442755000,6.31,9.61,7.443,9.9265
2022,AL,housing,state,8993079000,6.52,6.31,7.48,9.9539
2023,AL,housing,state,10148028000,12.84,6.52,8.557,10.0064
2015,AL,public_safety,state,711666000,6.78,6.78,6.78,8.8523
2016,AL,public_safety,state,712039000,0.05,6.78,3.415,8.8525
2017,AL,public_safety,state,733881000,3.07,0.05,3.3,8.8656
2018,AL,public_safety,state,775748000,5.7,3.07,2.94,8.8897
2019,AL,public_safety,state,822749000,6.06,5.7,4.943,8.9153
2020,AL,public_safety,state,993739000,20.78,6.06,10.847,8.9973
2021,AL,public_safety,state,931207000,-6.29,20.78,6.85,8.969
2022,AL,public_safety,state,1026773000,10.26,-6.29,8.25,9.0115
2023,AL,public_safety,state,1091454000,6.3,10.26,3.423,9.038
2015,AL,transportation,state,1631748000,4.42,4.42,4.42,9.2127
2016,AL,transportation,state,1653128000,1.31,4.42,2.865,9.2183
2017,AL,transportation,state,1605088000,-2.91,1.31,0.94,9.2055
2018,AL,transportation,state,1976769000,23.16,-2.91,7.187,9.296
2019,AL,transportation,state,1781477000,-9.88,23.16,3.457,9.2508
2020,AL,transportation,state,1748076000,-1.87,-9.88,3.803,9.2426
2021,AL,transportation,state,1619229000,-7.37,-1.87,-6.373,9.2093
2022,AL,transportation,state,1788305000,10.44,-7.37,0.4,9.2524
2023,AL,transportation,state,1863248000,4.19,10.44,2.42,9.2703
2015,AR,education,state,8162327000,-0.01,-0.01,-0.01,9.9118
2016,AR,education,state,8411420000,3.05,-0.01,1.52,9.9249
2017,AR,education,state,7810488000,-7.14,3.05,-1.367,9.8927
